2 171.91 -1.5708 0.939396 -0.247969 -1.45114
3 343.82 -1.5708 0.673398 -2.15397 -1.45114
4 515.729 -1.5708 0.798855 -3.11267 -1.45114
5 687.639 -1.5708 0.310747 2.36955 -1.45114
6 859.549 -1.5708 0.647179 -2.01692 -1.45114
7 1031.46 -1.5708 0.272645 2.37762 -1.45114
8 1203.37 -1.5708 0.500777 0.845638 -1.45114
9 1375.28 -1.5708 0.126328 -1.20491 -1.45114
10 1547.19 -1.5708 0.802291 -1.53423 -1.45114
11 1719.1 -1.5708 0.286767 0.312701 -1.45114
12 1891.01 -1.5708 0.920535 -1.08623 -1.45114
13 2062.92 -1.5708 0.380698 0.473065 -1.45114
14 2234.83 -1.5708 0.584749 2.65585 -1.45114
15 2406.74 -1.5708 0.649359 -1.62884 -1.45114
16 2578.65 -1.5708 0.405971 -3.00889 -1.45114
17 2750.56 -1.5708 0.490394 3.13093 -1.45114
18 2922.47 -1.5708 0.478363 -2.78174 -1.45114
19 3094.38 -1.5708 0.239812 0.227936 -1.45114
20 3266.29 -1.5708 0.963536 1.78882 -1.45114
21 3438.2 -1.5708 0.799492 0.694038 -1.45114
22 3610.11 -1.5708 0.271872 -2.72283 -1.45114
23 3782.02 -1.5708 0.253252 -2.06503 -1.45114
24 3953.93 -1.5708 0.779717 1.02102 -1.45114
25 4125.84 -1.5708 0.525608 2.71973 -1.45114
26 4297.75 -1.5708 0.497576 1.35737 -1.45114
27 4469.66 -1.5708 0.375417 2.26156 -1.45114
28 4641.57 -1.5708 1.23083 2.00293 -1.45114
29 4813.47 -1.5708 0.436048 2.88174 -1.45114
30 4985.38 -1.5708 0.591403 2.40876 -1.45114
31 5157.29 -1.5708 0.672488 -0.862105 -1.45114
32 5329.2 -1.5708 0.551547 2.92062 -1.45114
33 5501.11 -1.5708 0.336315 2.89903 -1.45114
34 5673.02 -1.5708 0.319923 -0.678849 -1.45114
35 5844.93 -1.5708 0.249293 -3.07833 -1.45114
36 6016.84 -1.5708 0.648601 1.40631 -1.45114
37 6188.75 -1.5708 0.510983 -2.70184 -1.45114
38 6360.66 -1.5708 0.526828 1.41351 -1.45114
39 6532.57 -1.5708 0.322464 -1.30046 -1.45114
40 6704.48 -1.5708 0.716903 -2.57708 -1.45114
41 6876.39 -1.5708 1.02188 1.79618 -1.45114
42 7048.3 -1.5708 0.558646 -0.00574394 -1.45114
43 7220.21 -1.5708 0.58136 -2.09869 -1.45114
44 7392.12 -1.5708 0.740744 1.81902 -1.45114
45 7564.03 -1.5708 0.210917 -2.86324 -1.45114
46 7735.94 -1.5708 0.723128 -3.00694 -1.45114
47 7907.85 -1.5708 0.572744 1.71065 -1.45114
48 8079.76 -1.5708 0.366834 -2.56803 -1.45114
49 8251.67 -1.5708 0.461066 -3.09897 -1.45114
50 8423.58 -1.5708 0.249069 -1.45642 -1.45114
51 8595.49 -1.5708 0.354252 2.22525 -1.45114
52 8767.4 -1.5708 0.382154 -1.44188 -1.45114
53 8939.31 -1.5708 0.0839248 -2.04825 -1.45114
54 9111.22 -1.5708 0.397015 0.38899 -1.45114
55 9283.13 -1.5708 0.323297 2.16714 -1.45114
56 9455.04 -1.5708 0.373016 0.00417474 -1.45114
57 9626.95 -1.5708 0.273517 1.2 -1.45114
58 9798.86 -1.5708 0.196179 -2.14222 -1.45114
59 9970.77 -1.5708 0.378194 3.02537 -1.45114
60 10142.7 -1.5708 0.238917 1.66348 -1.45114
61 10314.6 -1.5708 0.41146 1.48861 -1.45114
62 10486.5 -1.5708 0.184163 -0.953955 -1.45114
63 10658.4 -1.5708 0.304627 -2.8466 -1.45114
64 10830.3 -1.5708 0.317735 0.864129 -1.45114
